config,cols,alpha,drift,threshold,group_col,scenario_id,source_file,scenario_type,last_label,tp,fp,fn,tn,detected_any,valid_detection,first_alert_idx,first_alert_time_s,first_valid_alert_idx,first_valid_alert_time_s,delay_min,fp_before_onset,clean_valid_detection,clean_delay_min,max_score,mean_score
volume_multisensor,"V_N2,V_N3,V_N4,V_N5,V_N6,V_N7,V_N8,V_N9",0.25,0.75,50.0,hour,1,data_1.csv,normal,0,0,27,0,118,1,0,49.0,29400.0,,,,27,0,,65.77046542437238,31.65474189816583
volume_multisensor,"V_N2,V_N3,V_N4,V_N5,V_N6,V_N7,V_N8,V_N9",0.25,0.75,50.0,hour,2,data_2.csv,normal,0,0,27,0,118,1,0,49.0,29400.0,,,,27,0,,65.76994463189438,31.65678640656167
volume_multisensor,"V_N2,V_N3,V_N4,V_N5,V_N6,V_N7,V_N8,V_N9",0.25,0.75,50.0,hour,3,data_3.csv,normal,0,0,0,0,145,0,0,,,,,,0,0,,25.99858266503449,7.810881966078595
volume_multisensor,"V_N2,V_N3,V_N4,V_N5,V_N6,V_N7,V_N8,V_N9",0.25,0.75,50.0,hour,4,data_4.csv,normal,0,0,28,0,117,1,0,117.0,70200.0,,,,28,0,,106.02788971925649,30.97352263521492
volume_multisensor,"V_N2,V_N3,V_N4,V_N5,V_N6,V_N7,V_N8,V_N9",0.25,0.75,50.0,hour,5,data_5.csv,normal,0,0,20,0,125,1,0,17.0,10200.0,,,,20,0,,60.95774958948133,19.329804486600807
volume_multisensor,"V_N2,V_N3,V_N4,V_N5,V_N6,V_N7,V_N8,V_N9",0.25,0.75,50.0,hour,6,data_6.csv,normal,0,0,20,0,125,1,0,17.0,10200.0,,,,20,0,,60.95774958948133,27.934853245090018
volume_multisensor,"V_N2,V_N3,V_N4,V_N5,V_N6,V_N7,V_N8,V_N9",0.25,0.75,50.0,hour,7,data_7.csv,normal,0,0,0,0,145,0,0,,,,,,0,0,,19.19265787188224,4.267911959278832
volume_multisensor,"V_N2,V_N3,V_N4,V_N5,V_N6,V_N7,V_N8,V_N9",0.25,0.75,50.0,hour,8,data_8.csv,normal,0,0,0,0,145,0,0,,,,,,0,0,,36.27532554857871,18.48808793346247
volume_multisensor,"V_N2,V_N3,V_N4,V_N5,V_N6,V_N7,V_N8,V_N9",0.25,0.75,50.0,hour,9,data_9.csv,normal,0,0,0,0,145,0,0,,,,,,0,0,,20.89480123139389,7.947894531261868
volume_multisensor,"V_N2,V_N3,V_N4,V_N5,V_N6,V_N7,V_N8,V_N9",0.25,0.75,50.0,hour,10,data_10.csv,normal,0,0,0,0,145,0,0,,,,,,0,0,,29.064033230882668,11.179350483099297
volume_multisensor,"V_N2,V_N3,V_N4,V_N5,V_N6,V_N7,V_N8,V_N9",0.25,0.75,50.0,hour,11,data_11.csv,persistent_leak,1,134,0,11,0,1,1,11.0,6600.0,11.0,6600.0,110.0,0,1,110.0,604.2209001485355,334.6021689800547
volume_multisensor,"V_N2,V_N3,V_N4,V_N5,V_N6,V_N7,V_N8,V_N9",0.25,0.75,50.0,hour,12,data_12.csv,persistent_leak,1,136,0,9,0,1,1,9.0,5400.0,9.0,5400.0,90.0,0,1,90.0,515.7788865672933,328.6948080707307
volume_multisensor,"V_N2,V_N3,V_N4,V_N5,V_N6,V_N7,V_N8,V_N9",0.25,0.75,50.0,hour,13,data_13.csv,persistent_leak,1,134,0,11,0,1,1,11.0,6600.0,11.0,6600.0,110.0,0,1,110.0,315.56167952797693,230.40379790441838
volume_multisensor,"V_N2,V_N3,V_N4,V_N5,V_N6,V_N7,V_N8,V_N9",0.25,0.75,50.0,hour,14,data_14.csv,persistent_leak,1,135,0,10,0,1,1,10.0,6000.0,10.0,6000.0,100.0,0,1,100.0,407.4207458969487,249.842896045921
volume_multisensor,"V_N2,V_N3,V_N4,V_N5,V_N6,V_N7,V_N8,V_N9",0.25,0.75,50.0,hour,15,data_15.csv,persistent_leak,1,133,0,12,0,1,1,12.0,7200.0,12.0,7200.0,120.0,0,1,120.0,565.6134364225362,319.14262525565925
volume_multisensor,"V_N2,V_N3,V_N4,V_N5,V_N6,V_N7,V_N8,V_N9",0.25,0.75,50.0,hour,16,data_16.csv,onset_leak,1,5,0,68,72,1,1,140.0,84000.0,140.0,84000.0,680.0,0,1,680.0,79.79810626572534,12.959825759234402
volume_multisensor,"V_N2,V_N3,V_N4,V_N5,V_N6,V_N7,V_N8,V_N9",0.25,0.75,50.0,hour,17,data_17.csv,onset_leak,1,60,0,13,72,1,1,85.0,51000.0,85.0,51000.0,130.0,0,1,130.0,229.75119629894635,57.886744496773225
volume_multisensor,"V_N2,V_N3,V_N4,V_N5,V_N6,V_N7,V_N8,V_N9",0.25,0.75,50.0,hour,18,data_18.csv,onset_leak,1,73,52,0,20,1,1,20.0,12000.0,72.0,43200.0,0.0,52,0,,209.07561253472585,135.1178866125434
volume_multisensor,"V_N2,V_N3,V_N4,V_N5,V_N6,V_N7,V_N8,V_N9",0.25,0.75,50.0,hour,19,data_19.csv,onset_leak,1,2,0,71,72,1,1,143.0,85800.0,143.0,85800.0,710.0,0,1,710.0,60.875406576286814,11.387583208512366
volume_multisensor,"V_N2,V_N3,V_N4,V_N5,V_N6,V_N7,V_N8,V_N9",0.25,0.75,50.0,hour,20,data_20.csv,onset_leak,1,63,0,10,72,1,1,82.0,49200.0,82.0,49200.0,100.0,0,1,100.0,214.91998006555946,62.031500874272176
volume_multisensor,"V_N2,V_N3,V_N4,V_N5,V_N6,V_N7,V_N8,V_N9",0.25,0.75,50.0,hour,21,data_21.csv,persistent_leak,2,135,0,10,0,1,1,10.0,6000.0,10.0,6000.0,100.0,0,1,100.0,875.7359772922248,532.987491734462
volume_multisensor,"V_N2,V_N3,V_N4,V_N5,V_N6,V_N7,V_N8,V_N9",0.25,0.75,50.0,hour,22,data_22.csv,persistent_leak,2,135,0,10,0,1,1,10.0,6000.0,10.0,6000.0,100.0,0,1,100.0,842.941741124841,516.3174564672167
volume_multisensor,"V_N2,V_N3,V_N4,V_N5,V_N6,V_N7,V_N8,V_N9",0.25,0.75,50.0,hour,23,data_23.csv,persistent_leak,2,136,0,9,0,1,1,9.0,5400.0,9.0,5400.0,90.0,0,1,90.0,891.5616952478427,533.7514070158139
volume_multisensor,"V_N2,V_N3,V_N4,V_N5,V_N6,V_N7,V_N8,V_N9",0.25,0.75,50.0,hour,24,data_24.csv,persistent_leak,2,135,0,10,0,1,1,10.0,6000.0,10.0,6000.0,100.0,0,1,100.0,912.7937797051784,546.0757957425748
volume_multisensor,"V_N2,V_N3,V_N4,V_N5,V_N6,V_N7,V_N8,V_N9",0.25,0.75,50.0,hour,25,data_25.csv,persistent_leak,2,134,0,11,0,1,1,11.0,6600.0,11.0,6600.0,110.0,0,1,110.0,799.811610167933,520.3127978403962
volume_multisensor,"V_N2,V_N3,V_N4,V_N5,V_N6,V_N7,V_N8,V_N9",0.25,0.75,50.0,hour,26,data_26.csv,onset_leak,2,73,39,0,33,1,1,33.0,19800.0,72.0,43200.0,0.0,39,0,,302.85246782303176,113.1851493915486
volume_multisensor,"V_N2,V_N3,V_N4,V_N5,V_N6,V_N7,V_N8,V_N9",0.25,0.75,50.0,hour,27,data_27.csv,onset_leak,2,66,0,7,72,1,1,79.0,47400.0,79.0,47400.0,70.0,0,1,70.0,367.7519500134472,111.87599272261538
volume_multisensor,"V_N2,V_N3,V_N4,V_N5,V_N6,V_N7,V_N8,V_N9",0.25,0.75,50.0,hour,28,data_28.csv,onset_leak,2,62,20,11,52,1,1,31.0,18600.0,83.0,49800.0,110.0,20,0,,255.99988465735015,80.23397946473936
volume_multisensor,"V_N2,V_N3,V_N4,V_N5,V_N6,V_N7,V_N8,V_N9",0.25,0.75,50.0,hour,29,data_29.csv,onset_leak,2,73,47,0,25,1,1,25.0,15000.0,72.0,43200.0,0.0,47,0,,281.56790928797244,124.06225228884612
volume_multisensor,"V_N2,V_N3,V_N4,V_N5,V_N6,V_N7,V_N8,V_N9",0.25,0.75,50.0,hour,30,data_30.csv,onset_leak,2,73,52,0,20,1,1,20.0,12000.0,72.0,43200.0,0.0,52,0,,221.60321071096712,137.08898804072345
volume_multisensor,"V_N2,V_N3,V_N4,V_N5,V_N6,V_N7,V_N8,V_N9",0.25,0.75,50.0,hour,31,data_31.csv,persistent_leak,3,134,0,11,0,1,1,11.0,6600.0,11.0,6600.0,110.0,0,1,110.0,740.039222755872,446.92261151243366
volume_multisensor,"V_N2,V_N3,V_N4,V_N5,V_N6,V_N7,V_N8,V_N9",0.25,0.75,50.0,hour,32,data_32.csv,persistent_leak,3,136,0,9,0,1,1,9.0,5400.0,9.0,5400.0,90.0,0,1,90.0,842.941741124841,516.7093323411239
volume_multisensor,"V_N2,V_N3,V_N4,V_N5,V_N6,V_N7,V_N8,V_N9",0.25,0.75,50.0,hour,33,data_33.csv,persistent_leak,3,136,0,9,0,1,1,9.0,5400.0,9.0,5400.0,90.0,0,1,90.0,740.9571741167088,460.3999405712283
volume_multisensor,"V_N2,V_N3,V_N4,V_N5,V_N6,V_N7,V_N8,V_N9",0.25,0.75,50.0,hour,34,data_34.csv,persistent_leak,3,135,0,10,0,1,1,10.0,6000.0,10.0,6000.0,100.0,0,1,100.0,897.0723335400735,540.0363764718633
volume_multisensor,"V_N2,V_N3,V_N4,V_N5,V_N6,V_N7,V_N8,V_N9",0.25,0.75,50.0,hour,35,data_35.csv,persistent_leak,3,135,0,10,0,1,1,10.0,6000.0,10.0,6000.0,100.0,0,1,100.0,864.7001328786016,519.7800261567971
volume_multisensor,"V_N2,V_N3,V_N4,V_N5,V_N6,V_N7,V_N8,V_N9",0.25,0.75,50.0,hour,36,data_36.csv,onset_leak,3,64,0,9,72,1,1,81.0,48600.0,81.0,48600.0,90.0,0,1,90.0,266.9919718596838,69.37523323439999
