scenario_id,source_file,scenario_type,first_label,last_label,dominant_label,onset_idx,onset_time_s,onset_time_h,n_samples,n_normal_samples,n_leak_samples
1,data_1.csv,normal,0,0,0,,,,145,145,0
2,data_2.csv,normal,0,0,0,,,,145,145,0
3,data_3.csv,normal,0,0,0,,,,145,145,0
4,data_4.csv,normal,0,0,0,,,,145,145,0
5,data_5.csv,normal,0,0,0,,,,145,145,0
6,data_6.csv,normal,0,0,0,,,,145,145,0
7,data_7.csv,normal,0,0,0,,,,145,145,0
8,data_8.csv,normal,0,0,0,,,,145,145,0
9,data_9.csv,normal,0,0,0,,,,145,145,0
10,data_10.csv,normal,0,0,0,,,,145,145,0
11,data_11.csv,persistent_leak,1,1,1,0.0,0.0,0.0,145,0,145
12,data_12.csv,persistent_leak,1,1,1,0.0,0.0,0.0,145,0,145
13,data_13.csv,persistent_leak,1,1,1,0.0,0.0,0.0,145,0,145
14,data_14.csv,persistent_leak,1,1,1,0.0,0.0,0.0,145,0,145
15,data_15.csv,persistent_leak,1,1,1,0.0,0.0,0.0,145,0,145
16,data_16.csv,onset_leak,0,1,1,72.0,43200.0,12.0,145,72,73
17,data_17.csv,onset_leak,0,1,1,72.0,43200.0,12.0,145,72,73
18,data_18.csv,onset_leak,0,1,1,72.0,43200.0,12.0,145,72,73
19,data_19.csv,onset_leak,0,1,1,72.0,43200.0,12.0,145,72,73
20,data_20.csv,onset_leak,0,1,1,72.0,43200.0,12.0,145,72,73
21,data_21.csv,persistent_leak,2,2,2,0.0,0.0,0.0,145,0,145
22,data_22.csv,persistent_leak,2,2,2,0.0,0.0,0.0,145,0,145
23,data_23.csv,persistent_leak,2,2,2,0.0,0.0,0.0,145,0,145
24,data_24.csv,persistent_leak,2,2,2,0.0,0.0,0.0,145,0,145
25,data_25.csv,persistent_leak,2,2,2,0.0,0.0,0.0,145,0,145
26,data_26.csv,onset_leak,0,2,2,72.0,43200.0,12.0,145,72,73
27,data_27.csv,onset_leak,0,2,2,72.0,43200.0,12.0,145,72,73
28,data_28.csv,onset_leak,0,2,2,72.0,43200.0,12.0,145,72,73
29,data_29.csv,onset_leak,0,2,2,72.0,43200.0,12.0,145,72,73
30,data_30.csv,onset_leak,0,2,2,72.0,43200.0,12.0,145,72,73
31,data_31.csv,persistent_leak,3,3,3,0.0,0.0,0.0,145,0,145
32,data_32.csv,persistent_leak,3,3,3,0.0,0.0,0.0,145,0,145
33,data_33.csv,persistent_leak,3,3,3,0.0,0.0,0.0,145,0,145
34,data_34.csv,persistent_leak,3,3,3,0.0,0.0,0.0,145,0,145
35,data_35.csv,persistent_leak,3,3,3,0.0,0.0,0.0,145,0,145
36,data_36.csv,onset_leak,0,3,3,72.0,43200.0,12.0,145,72,73
37,data_37.csv,onset_leak,0,3,3,72.0,43200.0,12.0,145,72,73
38,data_38.csv,onset_leak,0,3,3,72.0,43200.0,12.0,145,72,73
39,data_39.csv,onset_leak,0,3,3,72.0,43200.0,12.0,145,72,73
40,data_40.csv,onset_leak,0,3,3,72.0,43200.0,12.0,145,72,73
41,data_41.csv,persistent_leak,4,4,4,0.0,0.0,0.0,145,0,145
42,data_42.csv,persistent_leak,4,4,4,0.0,0.0,0.0,145,0,145
43,data_43.csv,persistent_leak,4,4,4,0.0,0.0,0.0,145,0,145
44,data_44.csv,persistent_leak,4,4,4,0.0,0.0,0.0,145,0,145
45,data_45.csv,persistent_leak,4,4,4,0.0,0.0,0.0,145,0,145
46,data_46.csv,onset_leak,0,4,4,72.0,43200.0,12.0,145,72,73
47,data_47.csv,onset_leak,0,4,4,72.0,43200.0,12.0,145,72,73
48,data_48.csv,onset_leak,0,4,4,72.0,43200.0,12.0,145,72,73
49,data_49.csv,onset_leak,0,4,4,72.0,43200.0,12.0,145,72,73
50,data_50.csv,onset_leak,0,4,4,72.0,43200.0,12.0,145,72,73
51,data_51.csv,persistent_leak,5,5,5,0.0,0.0,0.0,145,0,145
52,data_52.csv,persistent_leak,5,5,5,0.0,0.0,0.0,145,0,145
53,data_53.csv,persistent_leak,5,5,5,0.0,0.0,0.0,145,0,145
54,data_54.csv,persistent_leak,5,5,5,0.0,0.0,0.0,145,0,145
55,data_55.csv,persistent_leak,5,5,5,0.0,0.0,0.0,145,0,145
56,data_56.csv,onset_leak,0,5,5,72.0,43200.0,12.0,145,72,73
57,data_57.csv,onset_leak,0,5,5,72.0,43200.0,12.0,145,72,73
58,data_58.csv,onset_leak,0,5,5,72.0,43200.0,12.0,145,72,73
59,data_59.csv,onset_leak,0,5,5,72.0,43200.0,12.0,145,72,73
60,data_60.csv,onset_leak,0,5,5,72.0,43200.0,12.0,145,72,73
