feature,mean,std
V_N8_t-23,48.917404,29.54087
V_N8_t-22,49.237415,29.435883
V_N8_t-21,49.55743,29.32703
V_N8_t-20,49.877445,29.214264
V_N8_t-19,50.197456,29.097542
V_N8_t-18,50.45065,28.986609
V_N8_t-17,50.70384,28.87303
V_N8_t-16,50.968388,28.748365
V_N8_t-15,51.23293,28.620716
V_N8_t-14,51.49747,28.490034
V_N8_t-13,51.762016,28.356287
V_N8_t-12,51.944096,28.23764
V_N8_t-11,52.126183,28.117317
V_N8_t-10,52.30861,27.996794
V_N8_t-9,52.491024,27.874561
V_N8_t-8,52.673443,27.750586
V_N8_t-7,52.855865,27.624857
V_N8_t-6,52.949856,27.550217
V_N8_t-5,53.04385,27.475054
V_N8_t-4,53.132607,27.40775
V_N8_t-3,53.221363,27.339998
V_N8_t-2,53.310116,27.271788
V_N8_t-1,53.398872,27.203115
V_N8_t-0,53.40532,27.203253
