feature,mean,std
V_N9_t-23,51.28559,31.951075
V_N9_t-22,51.66241,31.856155
V_N9_t-21,52.039234,31.756483
V_N9_t-20,52.416054,31.652006
V_N9_t-19,52.792877,31.542686
V_N9_t-18,53.085674,31.415012
V_N9_t-17,53.37847,31.284077
V_N9_t-16,53.676758,31.14803
V_N9_t-15,53.975044,31.008516
V_N9_t-14,54.27333,30.865494
V_N9_t-13,54.571613,30.718903
V_N9_t-12,54.778156,30.579876
V_N9_t-11,54.984703,30.438812
V_N9_t-10,55.187866,30.302143
V_N9_t-9,55.39102,30.163494
V_N9_t-8,55.59419,30.022825
V_N9_t-7,55.797344,29.880116
V_N9_t-6,55.898495,29.79488
V_N9_t-5,55.999638,29.70906
V_N9_t-4,56.091915,29.634798
V_N9_t-3,56.184196,29.560057
V_N9_t-2,56.276474,29.484838
V_N9_t-1,56.36875,29.409138
V_N9_t-0,56.361988,29.425833
