split,scenario_id,source_file,scenario_type,window_id,window_size,start_idx,end_idx,start_time_s,end_time_s,label_col,y_true,V_N9_t-23,V_N9_t-22,V_N9_t-21,V_N9_t-20,V_N9_t-19,V_N9_t-18,V_N9_t-17,V_N9_t-16,V_N9_t-15,V_N9_t-14,V_N9_t-13,V_N9_t-12,V_N9_t-11,V_N9_t-10,V_N9_t-9,V_N9_t-8,V_N9_t-7,V_N9_t-6,V_N9_t-5,V_N9_t-4,V_N9_t-3,V_N9_t-2,V_N9_t-1,V_N9_t-0
train,1,data_1.csv,normal,1_0_23,24,0,23,0,13800,leak_binary,0,13.0,13.0,13.0,13.0,13.0,13.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
train,1,data_1.csv,normal,1_1_24,24,1,24,600,14400,leak_binary,0,13.0,13.0,13.0,13.0,13.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,13.0
train,1,data_1.csv,normal,1_2_25,24,2,25,1200,15000,leak_binary,0,13.0,13.0,13.0,13.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,13.0,13.0
train,1,data_1.csv,normal,1_3_26,24,3,26,1800,15600,leak_binary,0,13.0,13.0,13.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,13.0,13.0,13.0
train,1,data_1.csv,normal,1_4_27,24,4,27,2400,16200,leak_binary,0,13.0,13.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,13.0,13.0,13.0,13.0
train,1,data_1.csv,normal,1_5_28,24,5,28,3000,16800,leak_binary,0,13.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,13.0,13.0,13.0,13.0,13.0
train,1,data_1.csv,normal,1_6_29,24,6,29,3600,17400,leak_binary,0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,13.0,13.0,13.0,13.0,13.0,13.0
train,1,data_1.csv,normal,1_7_30,24,7,30,4200,18000,leak_binary,0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,13.0,13.0,13.0,13.0,13.0,13.0,23.5
train,1,data_1.csv,normal,1_8_31,24,8,31,4800,18600,leak_binary,0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,13.0,13.0,13.0,13.0,13.0,13.0,23.5,23.5
train,1,data_1.csv,normal,1_9_32,24,9,32,5400,19200,leak_binary,0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,13.0,13.0,13.0,13.0,13.0,13.0,23.5,23.5,23.5
train,1,data_1.csv,normal,1_10_33,24,10,33,6000,19800,leak_binary,0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,13.0,13.0,13.0,13.0,13.0,13.0,23.5,23.5,23.5,23.5
train,1,data_1.csv,normal,1_11_34,24,11,34,6600,20400,leak_binary,0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,13.0,13.0,13.0,13.0,13.0,13.0,23.5,23.5,23.5,23.5,23.5
train,1,data_1.csv,normal,1_12_35,24,12,35,7200,21000,leak_binary,0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,13.0,13.0,13.0,13.0,13.0,13.0,23.5,23.5,23.5,23.5,23.5,23.5
train,1,data_1.csv,normal,1_13_36,24,13,36,7800,21600,leak_binary,0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,13.0,13.0,13.0,13.0,13.0,13.0,23.5,23.5,23.5,23.5,23.5,23.5,32.0
train,1,data_1.csv,normal,1_14_37,24,14,37,8400,22200,leak_binary,0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,13.0,13.0,13.0,13.0,13.0,13.0,23.5,23.5,23.5,23.5,23.5,23.5,32.0,32.0
train,1,data_1.csv,normal,1_15_38,24,15,38,9000,22800,leak_binary,0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,13.0,13.0,13.0,13.0,13.0,13.0,23.5,23.5,23.5,23.5,23.5,23.5,32.0,32.0,32.0
train,1,data_1.csv,normal,1_16_39,24,16,39,9600,23400,leak_binary,0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,13.0,13.0,13.0,13.0,13.0,13.0,23.5,23.5,23.5,23.5,23.5,23.5,32.0,32.0,32.0,32.0
train,1,data_1.csv,normal,1_17_40,24,17,40,10200,24000,leak_binary,0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,13.0,13.0,13.0,13.0,13.0,13.0,23.5,23.5,23.5,23.5,23.5,23.5,32.0,32.0,32.0,32.0,32.0
train,1,data_1.csv,normal,1_18_41,24,18,41,10800,24600,leak_binary,0,7.0,7.0,7.0,7.0,7.0,7.0,13.0,13.0,13.0,13.0,13.0,13.0,23.5,23.5,23.5,23.5,23.5,23.5,32.0,32.0,32.0,32.0,32.0,32.0
train,1,data_1.csv,normal,1_19_42,24,19,42,11400,25200,leak_binary,0,7.0,7.0,7.0,7.0,7.0,13.0,13.0,13.0,13.0,13.0,13.0,23.5,23.5,23.5,23.5,23.5,23.5,32.0,32.0,32.0,32.0,32.0,32.0,46.5
train,1,data_1.csv,normal,1_20_43,24,20,43,12000,25800,leak_binary,0,7.0,7.0,7.0,7.0,13.0,13.0,13.0,13.0,13.0,13.0,23.5,23.5,23.5,23.5,23.5,23.5,32.0,32.0,32.0,32.0,32.0,32.0,46.5,46.5
