split,scope,node_id,num_windows,positive_windows,best_epoch,best_val_loss,threshold,device,input_dim,hidden_dims,dropout,lr,weight_decay,batch_size,pos_weight,tp,fp,fn,tn,precision,recall,f1,accuracy
train,overall,ALL,13176,5509,16,0.22508903320044116,0.5,cpu,27,64-32,0.1,0.001,0.0001,128,1.3917226356870576,5049,657,460,7010,0.8848580441640379,0.9165002722817208,0.9004012483281321,0.9152246508803886
train,node,N2,4392,2925,16,0.22508903320044116,0.5,cpu,27,64-32,0.1,0.001,0.0001,128,1.3917226356870576,2885,281,40,1186,0.9112444725205306,0.9863247863247864,0.9472992940403875,0.9269125683060109
train,node,N8,4392,1219,16,0.22508903320044116,0.5,cpu,27,64-32,0.1,0.001,0.0001,128,1.3917226356870576,958,199,261,2974,0.8280034572169404,0.7858900738310091,0.8063973063973064,0.895264116575592
train,node,N9,4392,1365,16,0.22508903320044116,0.5,cpu,27,64-32,0.1,0.001,0.0001,128,1.3917226356870576,1206,177,159,2850,0.8720173535791758,0.8835164835164835,0.8777292576419213,0.9234972677595629
val,overall,ALL,4392,1462,16,0.22508903320044116,0.5,cpu,27,64-32,0.1,0.001,0.0001,128,1.3917226356870576,1388,264,74,2666,0.8401937046004843,0.9493844049247606,0.8914579319203596,0.9230418943533698
val,node,N2,1464,975,16,0.22508903320044116,0.5,cpu,27,64-32,0.1,0.001,0.0001,128,1.3917226356870576,932,106,43,383,0.8978805394990366,0.9558974358974359,0.9259811227024342,0.898224043715847
val,node,N8,1464,146,16,0.22508903320044116,0.5,cpu,27,64-32,0.1,0.001,0.0001,128,1.3917226356870576,145,73,1,1245,0.6651376146788991,0.9931506849315068,0.7967032967032966,0.9494535519125683
val,node,N9,1464,341,16,0.22508903320044116,0.5,cpu,27,64-32,0.1,0.001,0.0001,128,1.3917226356870576,311,85,30,1038,0.7853535353535354,0.9120234604105572,0.8439620081411127,0.921448087431694
test,overall,ALL,4392,1804,16,0.22508903320044116,0.5,cpu,27,64-32,0.1,0.001,0.0001,128,1.3917226356870576,1654,232,150,2356,0.8769883351007424,0.9168514412416852,0.8964769647696478,0.913023679417122
test,node,N2,1464,975,16,0.22508903320044116,0.5,cpu,27,64-32,0.1,0.001,0.0001,128,1.3917226356870576,933,140,42,349,0.869524697110904,0.9569230769230769,0.9111328124999999,0.8756830601092896
test,node,N8,1464,585,16,0.22508903320044116,0.5,cpu,27,64-32,0.1,0.001,0.0001,128,1.3917226356870576,492,60,93,819,0.8913043478260869,0.841025641025641,0.8654353562005277,0.8954918032786885
test,node,N9,1464,244,16,0.22508903320044116,0.5,cpu,27,64-32,0.1,0.001,0.0001,128,1.3917226356870576,229,32,15,1188,0.8773946360153256,0.9385245901639344,0.906930693069307,0.967896174863388
