feature,mean,std
node_is_N2,0.33333334,0.4714045
node_is_N8,0.33333334,0.4714045
node_is_N9,0.33333334,0.47140452
local_t-23,67.627754,46.78203
local_t-22,68.10142,46.718937
local_t-21,68.57508,46.65095
local_t-20,69.048744,46.57805
local_t-19,69.52241,46.500206
local_t-18,69.89551,46.388294
local_t-17,70.268616,46.273098
local_t-16,70.65294,46.147583
local_t-15,71.03726,46.018513
local_t-14,71.42159,45.88586
local_t-13,71.80592,45.749596
local_t-12,72.07411,45.605705
local_t-11,72.34231,45.459778
local_t-10,72.608475,45.31545
local_t-9,72.87463,45.1691
local_t-8,73.14079,45.0207
local_t-7,73.40695,44.87023
local_t-6,73.54615,44.763737
local_t-5,73.685356,44.656555
local_t-4,73.815155,44.559532
local_t-3,73.94495,44.46192
local_t-2,74.074745,44.363712
local_t-1,74.204544,44.264908
local_t-0,74.20433,44.271515
