delta,threshold,mean_f1_local,mean_recall_local,mean_precision_local,mean_normal_false_alert_rate_local,mean_onset_valid_detection_rate_local,mean_onset_clean_valid_detection_rate_local,mean_persistent_detection_rate_local,mean_persistent_valid_detection_rate_local,mean_delay_min_onset_local,mean_delay_min_persistent_local,f1_N2,precision_N2,recall_N2,normal_false_alert_rate_N2,onset_valid_detection_rate_N2,onset_clean_valid_detection_rate_N2,persistent_valid_detection_rate_N2,mean_delay_min_onset_N2,f1_N8,precision_N8,recall_N8,normal_false_alert_rate_N8,onset_valid_detection_rate_N8,onset_clean_valid_detection_rate_N8,persistent_valid_detection_rate_N8,mean_delay_min_onset_N8,f1_N9,precision_N9,recall_N9,normal_false_alert_rate_N9,onset_valid_detection_rate_N9,onset_clean_valid_detection_rate_N9,persistent_valid_detection_rate_N9,mean_delay_min_onset_N9,rank_score
0.5,20,0.471072768812744,0.3686544342507645,0.7155264711018784,0.26666666666666666,0.6,0.49333333333333335,0.7200000000000001,0.56,67.26666666666667,853.3030303030304,0.4529379760609358,0.8753943217665615,0.3055045871559633,0.3,1.0,0.84,0.88,92.8,0.4791992492962152,0.7531956735496559,0.3513761467889908,0.4,0.4,0.4,0.4,22.0,0.4810810810810811,0.517989417989418,0.44908256880733943,0.1,0.4,0.24,0.4,87.0,3.3903577419176427
0.5,30,0.45449111475145854,0.3312232415902141,0.789531423269703,0.13333333333333333,0.6,0.52,0.56,0.4266666666666667,115.0,939.7777777777777,0.41409566940277387,0.9053217821782178,0.2684403669724771,0.2,1.0,0.88,0.48,144.0,0.46695739684669574,0.8689138576779026,0.3192660550458716,0.1,0.4,0.4,0.4,39.0,0.48242027800490594,0.5943586299529886,0.4059633027522936,0.1,0.4,0.28,0.4,162.0,3.329631125672501
0.2,30,0.4516810544867033,0.358440366972477,0.6713311204689757,0.3,0.6,0.5066666666666667,0.6666666666666666,0.49333333333333335,81.46666666666667,900.7058823529411,0.43471164309031557,0.8401682439537329,0.2932110091743119,0.3,1.0,0.84,0.68,106.4,0.45834604821483066,0.6845943482224248,0.3444954128440367,0.4,0.4,0.4,0.4,35.0,0.46198547215496366,0.48923076923076925,0.43761467889908257,0.2,0.4,0.28,0.4,103.0,3.125257551280147
0.1,40,0.43494498604473386,0.32966360856269117,0.7000974454993801,0.16666666666666666,0.6,0.5066666666666667,0.5333333333333333,0.3866666666666667,110.06666666666666,937.4814814814814,0.4186884791348953,0.8564946114577425,0.27706422018348625,0.2,1.0,0.84,0.36,125.2,0.43478260869565216,0.7297297297297297,0.30963302752293576,0.2,0.4,0.4,0.4,54.0,0.45136387030365416,0.5140679953106683,0.4022935779816514,0.1,0.4,0.28,0.4,151.0,3.0830466108456025
0.2,40,0.43409491471241607,0.3195718654434251,0.7452260440445581,0.16666666666666666,0.6,0.52,0.5066666666666667,0.3866666666666667,137.06666666666666,938.5185185185186,0.41014799154334036,0.8844984802431611,0.26697247706422017,0.2,1.0,0.88,0.36,135.2,0.4355108877721943,0.8074534161490683,0.2981651376146789,0.2,0.4,0.4,0.4,109.0,0.4566258648217137,0.5437262357414449,0.39357798165137614,0.1,0.4,0.28,0.4,167.0,3.0793129921829974
0.5,40,0.42344928535917,0.2908256880733945,0.8504194691047022,0.13333333333333333,0.6,0.5333333333333333,0.4266666666666667,0.3466666666666667,184.0,985.888888888889,0.3675930010292604,0.9252405625462621,0.22935779816513763,0.2,1.0,0.88,0.24,192.0,0.4158345221112696,0.9342948717948718,0.26743119266055043,0.1,0.4,0.4,0.4,177.0,0.4869203329369798,0.691722972972973,0.3756880733944954,0.1,0.4,0.32,0.4,183.0,3.003130474770013
0.01,40,0.43392564920111826,0.3414067278287461,0.6597593526342239,0.2333333333333333,0.6,0.5066666666666667,0.5733333333333334,0.4000000000000001,90.26666666666667,902.0,0.42590559824368823,0.8443960826985855,0.28477064220183484,0.2,1.0,0.84,0.4,94.8,0.44588344125809437,0.6801505174035748,0.33165137614678897,0.3,0.4,0.4,0.4,49.0,0.42998790810157195,0.4547314578005115,0.4077981651376147,0.2,0.4,0.28,0.4,127.0,2.9921025968044734
0.025,40,0.4350460588746155,0.34061162079510704,0.6655096456439344,0.2333333333333333,0.6,0.5066666666666667,0.5733333333333334,0.4000000000000001,96.60000000000001,902.0,0.42417582417582417,0.8437158469945355,0.283302752293578,0.2,1.0,0.84,0.4,96.8,0.44747443445925006,0.6895893027698186,0.3311926605504587,0.3,0.4,0.4,0.4,49.0,0.4334879179887723,0.46322378716744916,0.4073394495412844,0.2,0.4,0.28,0.4,144.0,2.990250902165129
0.05,40,0.43561188053887845,0.3368195718654434,0.6780939937274755,0.2333333333333333,0.6,0.5066666666666667,0.56,0.4000000000000001,106.13333333333333,902.0,0.421922335444781,0.8454746136865342,0.28110091743119264,0.2,1.0,0.84,0.4,120.4,0.44451430367808864,0.7062937062937062,0.32431192660550456,0.3,0.4,0.4,0.4,52.0,0.44039900249376557,0.4825136612021858,0.405045871559633,0.2,0.4,0.28,0.4,146.0,2.9829808554888477
0.0,40,0.43368626386557296,0.34308868501529055,0.6542141199389352,0.26666666666666666,0.6,0.5066666666666667,0.5733333333333334,0.4000000000000001,88.46666666666665,901.3333333333334,0.42663378545006164,0.8420767982693348,0.2856880733944954,0.3,1.0,0.84,0.4,94.4,0.4438994481912937,0.6691312384473198,0.3321100917431193,0.3,0.4,0.4,0.4,48.0,0.43052555795536357,0.45143432310015097,0.4114678899082569,0.2,0.4,0.28,0.4,123.0,2.926278388795626
